@relation estimate-W90-occupancy-blockMissing-F100-N15
@attribute temperature numeric
@attribute humidity numeric
@attribute light numeric
@attribute CO2 numeric
@attribute humidityRatio numeric
@attribute class {no,yes}

@data
22.52,24.976,430.2,824.0,0.00421347,yes
22.575,25.075,433.0,834.5,0.00424454,yes
22.6,25.0,433.0,837.0,0.00423823,yes
22.6,25.02142857,433.0,841.16666667,0.00424189,yes
22.6,25.04285714,433.0,845.33333333,0.00424555,yes
22.6,25.1,433.0,854.75,0.0042553,yes
22.6,25.1,428.33333333,850.33333333,0.0042553,yes
22.6,25.08,424.6,845.4,0.00425189,yes
22.6,25.16666667,433.0,854.33333333,0.00426668,yes
22.6,25.06666667,428.33333333,849.33333333,0.00424961,no
22.6,25.2,422.5,853.0,0.00427237,no
22.6,25.2,423.66666667,853.0,0.00427237,no
22.54,25.16,424.6,852.0,0.00424992,no
22.54,25.16,427.4,853.6,0.00424992,no
22.55041228070176,25.208643129631696,423.23172514678095,857.7703801163766,0.004260952956140351,yes
22.538304511278213,25.222195212383493,422.18447368501245,858.6613157890007,0.0042601287255639095,yes
22.52473513328777,25.235296555203806,421.0814274332574,859.4028286622195,0.004258849873205739,yes
22.50970414673045,25.247947158092384,419.92258639151834,859.9949187360328,0.004257116399065827,yes
22.493211551606368,25.260147021049324,418.7079505597936,860.4375860104379,0.004254928303144205,yes
22.47525734791539,25.271896144074653,417.4375199380827,860.7308304854379,0.004252285585440845,yes
22.455841535657427,25.283194527168327,416.1112945263882,860.8746521610327,0.004249188245955775,yes
22.43496411483264,25.29404217033041,414.7292743247079,860.8690510372193,0.004245636284688973,yes
22.412625085441007,25.304439073560786,413.2914593330426,860.7140271139998,0.00424162970164042,yes
22.388824447482484,25.31438523685951,411.79784955139274,860.4095803913744,0.004237168496810162,yes
22.363562200957087,25.323880660226617,410.2484449797573,859.9557108693426,0.004232252670198174,yes
22.33683834586487,25.332925343662037,408.6432456181369,859.3524185479037,0.004226882221804449,yes
22.30865288220569,25.341519287165863,406.9822514665308,858.5997034270583,0.004221057151629013,yes
22.279005809979694,25.349662490738034,405.26546252493995,857.6975655068082,0.004214777459671827,yes
22.247897129186775,25.35735495437855,403.4928787933639,856.6460047871491,0.004208043145932925,yes
22.39,24.7,419.0,790.6,0.00413359,no
22.4175,24.7225,419.0,789.75,0.00414435,no
22.39,24.7,419.0,782.2,0.00413359,no
22.39,24.7225,419.0,772.25,0.00413738,yes
22.39,24.71708333,419.0,772.925,0.00413646,yes
22.39,24.71166667,419.0,773.6,0.00413555,yes
22.39,24.625,419.0,773.75,0.00412095,yes
22.39,24.754,416.2,771.8,0.00414268,yes
22.39,24.912,418.6,782.8,0.0041693,yes
22.39,25.245,415.0,796.5,0.00422541,yes
22.39,25.0925,310.25,809.0,0.00419972,yes
22.39,25.0,0.0,805.5,0.00418413,no
22.35,24.978,0.0,791.4,0.0041702,no
22.32333333,25.0,0.0,779.33333333,0.00416708,no
22.365,24.9725,0.0,780.75,0.0041731,no
22.315,24.89,0.0,781.75,0.00414651,no
22.29,24.9175,0.0,781.0,0.00414477,no
22.29,24.912,0.0,778.4,0.00414385,no
22.26,24.85666667,0.0,769.33333333,0.00412699,no
22.254,24.85,0.0,766.5,0.00412436,no
22.23,24.79333333,0.0,763.25,0.00410884,no
22.26,24.82333333,0.0,762.33333333,0.00412142,no
22.2,24.79,0.0,761.5,0.00410074,no
22.2,24.79,0.0,761.0,0.00410074,no
22.2,24.736,0.0,757.0,0.00409175,no
22.2,24.79,0.0,752.33333333,0.00410074,no
22.13333333,24.7,0.0,748.66666667,0.00406908,no
22.1,24.7,0.0,746.25,0.00406077,no
22.15,24.7225,0.0,745.25,0.00407698,no
22.1,24.7,0.0,740.66666667,0.00406077,no
22.1,24.7,0.0,738.0,0.00406077,no
22.13333333,24.7,0.0,732.66666667,0.00406908,no
22.1,24.7,0.0,727.0,0.00406077,no
22.1,24.675,0.0,716.0,0.00405664,no
22.06666667,24.66666667,0.0,723.25,0.00404697,no
22.06666667,24.66666667,0.0,718.33333333,0.00404697,no
22.0,24.58,0.0,716.6,0.00401619,no
21.978,24.6,0.0,714.0,0.00401406,no
21.978,24.56,0.0,714.2,0.00400749,no
21.945,24.6,0.0,715.0,0.00400593,no
21.92666667,24.5,0.0,706.66666667,0.00398505,no
21.89,24.5,0.0,706.0,0.00397609,no
21.89,24.525,0.0,698.75,0.00398017,no
21.89,24.5,0.0,692.5,0.00397609,no
21.89,24.5,0.0,694.75,0.00397609,no
21.815,24.4175,0.0,697.25,0.00394439,no
21.82333333,24.46333333,0.0,692.0,0.00395387,no
21.79,24.39,0.0,691.0,0.00393387,no
21.79,24.39,0.0,689.75,0.00393387,no
21.79,24.39,0.0,689.0,0.00393387,no
21.7675,24.39,0.0,687.0,0.00392843,no
21.7675,24.365,0.0,679.75,0.00392438,no
21.754,24.35,0.0,668.4,0.00391869,no
21.7,24.29,0.0,665.66666667,0.00389601,no
21.7,24.29,0.0,664.75,0.00389601,no
21.7,24.29,0.0,668.0,0.00389601,no
21.7,24.29,0.0,661.25,0.00389601,no
21.64,24.236,0.0,658.2,0.00387297,no
21.6,24.2,0.0,656.0,0.00385767,no
21.6,24.2,0.0,654.8,0.00385767,no
21.6,24.2225,0.0,653.75,0.00386128,no
21.5,24.26,0.0,650.33333333,0.00384355,no
21.5,24.2,0.0,650.75,0.00383399,no
21.55,24.2,0.0,648.25,0.00384581,no
21.5,24.2,0.0,640.33333333,0.00383399,no
21.5,24.2,0.0,638.0,0.00383399,no
21.5,24.2,0.0,636.25,0.00383399,no
21.5,24.2,0.0,636.33333333,0.00383399,no
21.5,24.15,0.0,635.75,0.00382602,no
21.5,24.175,0.0,635.5,0.00383,no
21.5,24.125,0.0,627.5,0.00382203,no
21.5,24.15,0.0,626.25,0.00382602,no
21.5,24.125,0.0,621.5,0.00382203,no
21.5,24.1,0.0,621.75,0.00381805,no
21.5,24.1,0.0,620.66666667,0.00381805,no
21.5,24.1,0.0,617.0,0.00381805,no
21.5,24.1,0.0,612.75,0.00381805,no
21.4725,24.075,0.0,614.5,0.00380761,no
21.39,24.0,0.0,617.33333333,0.00377642,no
21.42666667,23.92666667,0.0,614.25,0.00377333,no
21.39,23.9725,0.0,610.75,0.00377207,no
21.39,23.9175,0.0,603.0,0.00376336,no
21.39,23.945,0.0,603.5,0.00376771,no
21.365,23.89,0.0,602.0,0.00375322,no
21.32333333,24.0,0.0,605.66666667,0.00376092,no
21.371341542906393,23.88631247986705,0.0,600.5280295578689,0.0037542329507389274,no
21.364744874547863,23.864185381000347,0.0,598.940688597211,0.0037492311814714854,no
21.35831550516644,23.84142757473469,0.0,597.3912432480885,0.0037441731720363977,no
21.352053434761995,23.81803906107,0.0,595.8796935105031,0.003739058922433675,no
21.34595866333459,23.79401984000637,0.0,594.4060393844534,0.0037338884326632914,no
21.340031190884268,23.7693699115437,0.0,592.9702808699388,0.0037286617027252602,no
21.334271017410945,23.744089275682036,0.0,591.5724179669619,0.0037233787326195946,no
21.328678142914644,23.718177932421444,0.0,590.2124506755208,0.0037180395223462784,no
21.323252567395407,23.691635881761844,0.0,588.8903789956134,0.003712644071905323,no
21.317994290853242,23.664463123703243,0.0,587.606202927244,0.0037071923812967028,no
21.31290331328805,23.636659658245673,0.0,586.35992247041,0.0037016844505204584,no
21.307979634699905,23.60822548538906,0.0,585.1515376251115,0.003696120279576555,no
21.30322325508886,23.57916060513344,0.0,583.9810483913488,0.0036904998684650103,no
21.29863417445473,23.54946501747881,0.0,582.848454769122,0.0036848232171858087,no
21.294212392797704,23.519138722425243,0.0,581.753756758433,0.003679090325738973,no
21.2,23.79,0.0,581.6,0.00369955,no
21.2,23.79,0.0,581.66666667,0.00369955,no
21.2,23.79,0.0,577.5,0.00369955,no
21.2,23.79,0.0,577.33333333,0.00369955,no
21.2,23.7675,0.0,574.25,0.00369604,no
21.2,23.745,0.0,569.0,0.00369252,no
21.2,23.76,0.0,565.33333333,0.00369486,no
21.2,23.7,0.0,561.4,0.00368548,no
21.2,23.79,0.0,567.33333333,0.00369955,no
21.175,23.7,0.0,565.33333333,0.00367979,no
21.16666667,23.7,0.0,563.5,0.0036779,no
21.125,23.675,0.0,559.0,0.00366455,no
21.1,23.65,0.0,559.5,0.00365501,no
21.125,23.65,0.0,550.5,0.00366066,no
21.1,23.6,0.0,553.0,0.00364724,no
21.13333333,23.6,0.0,552.0,0.00365476,no
21.1,23.6,0.0,553.25,0.00364724,no
21.1,23.6,0.0,545.75,0.00364724,no
21.1,23.6,0.0,548.0,0.00364724,no
21.1,23.6,0.0,547.0,0.00364724,no
21.1,23.575,0.0,545.75,0.00364335,no
21.1,23.53333333,0.0,544.0,0.00363688,no
21.1,23.4725,0.0,545.5,0.00362742,no
21.1,23.4725,0.0,547.0,0.00362742,no
21.1,23.5,0.0,545.25,0.00363169,no
21.1,23.5,0.0,541.25,0.00363169,no
21.125,23.5,0.0,540.75,0.00363731,no
21.1,23.5,0.0,533.33333333,0.00363169,no
21.13333333,23.5,0.0,528.0,0.00363918,no
21.1,23.3925,0.0,537.75,0.00361499,no
21.1,23.4725,0.0,539.5,0.00362742,no
21.1,23.5,0.0,535.25,0.00363169,no
21.1,23.5,0.0,537.25,0.00363169,no
21.1,23.5,0.0,535.25,0.00363169,no
21.1,23.5,0.0,533.4,0.00363169,no
21.1,23.5,0.0,524.5,0.00363169,no
21.1,23.434,0.0,524.8,0.00362144,no
21.1,23.39,0.0,522.66666667,0.0036146,no
21.1,23.39,0.0,521.0,0.0036146,no
21.125,23.39,0.0,519.75,0.00362018,no
21.1,23.39,0.0,523.0,0.0036146,no
21.1,23.39,0.0,523.0,0.0036146,no
21.1,23.39,0.0,519.0,0.0036146,no
21.1,23.365,0.0,519.5,0.00361071,no
21.1,23.39,0.0,519.75,0.0036146,no
21.1,23.365,0.0,520.0,0.00361071,no
21.1,23.33,0.0,524.6,0.00360527,no
21.075,23.315,0.0,520.25,0.00359738,no
21.075,23.34,0.0,519.0,0.00360126,no
21.1,23.29,0.0,523.2,0.00359905,no
21.03333333,23.29,0.0,517.66666667,0.00358426,no
21.02,23.29,0.0,514.2,0.00358131,no
21.025,23.29,0.0,516.5,0.00358241,no
21.0,23.29,0.0,521.0,0.00357688,no
21.0,23.29,0.0,520.0,0.00357688,no
21.0,23.254,0.0,517.8,0.00357132,no
21.0,23.26,0.0,514.33333333,0.00357225,no
21.0,23.2675,0.0,516.75,0.0035734,no
21.0,23.29,0.0,520.75,0.00357688,no
21.0,23.29,0.0,519.33333333,0.00357688,no
21.0,23.29,0.0,519.0,0.00357688,no
21.0,23.29,0.0,509.75,0.00357688,no
21.0,23.29,0.0,508.5,0.00357688,no
20.9725,23.29,0.0,504.5,0.0035708,no
21.0,23.29,0.0,506.5,0.00357688,no
20.9725,23.29,0.0,509.0,0.0035708,no
20.96333333,23.29,0.0,507.25,0.00356878,no
21.0,23.29,0.0,509.33333333,0.00357688,no
20.89,23.2,0.0,509.66666667,0.00353882,no
20.89,23.245,0.0,508.25,0.00354573,no
20.89,23.2225,0.0,510.25,0.00354227,no
20.89,23.254,0.0,504.0,0.00354711,no
20.89,23.26,0.0,499.33333333,0.00354803,no
20.89,23.2225,0.0,495.0,0.00354227,no
20.89,23.2,0.0,496.25,0.00353882,no
20.89,23.2,0.0,494.75,0.00353882,no
20.89,23.2,0.0,492.5,0.00353882,no
20.89,23.2,0.0,494.25,0.00353882,no
20.89,23.2,0.0,492.33333333,0.00353882,no
20.89,23.125,0.0,493.75,0.00352732,no
20.89,23.125,0.0,484.75,0.00352732,no
20.89,23.1,0.0,489.25,0.00352348,no
20.89,23.1,0.0,494.5,0.00352348,no
20.89,23.1,0.0,495.66666667,0.00352348,no
20.89,23.1,0.0,501.5,0.00352348,no
20.873623987945326,23.08528112348177,0.0,488.0790165323379,0.0035176647682186274,no
20.871817867365074,23.072480659375877,0.0,486.9246684201509,0.0035153136451812153,no
20.870198217888177,23.059324609424568,0.0,485.75686129693094,0.0035129497432570813,no
20.86876503951459,23.045812973627736,0.0,484.575595162682,0.0035105730624462373,no
20.86751833224442,23.03194575198542,0.0,483.3808700174026,0.0035081836027486897,no
20.86645809607752,23.017722944497656,0.0,482.1726858610923,0.003505781364164428,no
20.86558433101397,23.003144551164418,0.0,480.95104269375156,0.0035033663466934447,no
20.864897037053872,22.988210571985608,0.0,479.71594051538057,0.003500938550335764,no
20.864396214197043,22.972921006961418,0.0,478.4673793259806,0.0034984979750913745,no
20.864081862443538,22.9572758560917,0.0,477.2053591255477,0.0034960446209602774,no
20.86395398179341,22.94127511937654,0.0,475.9298799140859,0.003493578487942451,no
20.864012572246597,22.92491879681584,0.0,474.6409416915949,0.00349109957603793,no
20.864257633803195,22.908206888409705,0.0,473.3385444580722,0.0034886078852467057,no
20.864689166463045,22.891139394158092,0.0,472.0226882135195,0.0034861034155687603,no
20.86530717022624,22.87371631406096,0.0,470.69337295793713,0.0034835861670041083,no
20.89,23.0,0.0,490.0,0.00350814,no
20.9175,22.9725,0.0,489.5,0.00350989,no
20.89,22.945,0.0,485.25,0.00349971,no
20.89,22.89,0.0,485.66666667,0.00349127,no
20.9175,22.945,0.0,485.0,0.00350567,no
20.89,22.956,0.0,485.2,0.00350139,no
20.945,22.89,0.0,484.0,0.00350317,no
20.89,22.9175,0.0,483.0,0.00349549,no
20.89,22.89,0.0,481.0,0.00349127,no
20.89,22.89,0.0,476.5,0.00349127,no
20.89,22.89,0.0,475.0,0.00349127,no
20.89,22.89,0.0,476.0,0.00349127,no
20.89,22.89,0.0,478.5,0.00349127,no
20.89,22.89,0.0,481.0,0.00349127,no
20.89,22.89,0.0,483.0,0.00349127,no
20.85666667,22.85666667,0.0,480.25,0.00347898,no
20.89,22.89,0.0,480.25,0.00349127,no
20.89,22.865,0.0,470.75,0.00348744,no
20.89,22.89,0.0,474.75,0.00349127,no
20.89,22.865,0.0,482.25,0.00348744,no
20.89,22.89,0.0,480.33333333,0.00349127,no
20.89,22.89,0.0,480.0,0.00349127,no
20.89,22.84,0.0,481.5,0.0034836,no
20.89,22.84,0.0,483.5,0.0034836,no
20.89,22.79,0.0,475.6,0.00347593,no
20.89,22.76,0.0,475.33333333,0.00347133,no
20.89,22.815,0.0,477.66666667,0.00347977,no
20.89,22.79,0.0,475.75,0.00347593,no
20.89,22.79,0.0,479.16666667,0.00347593,no
20.865,22.7675,0.0,475.0,0.00346712,no
20.865,22.7675,0.0,474.0,0.00346712,no
20.89,22.79,0.0,477.33333333,0.00347593,no
20.89,22.79,0.0,473.0,0.00347593,no
20.89,22.7675,0.0,470.0,0.00347248,no
20.865,22.675,0.0,468.75,0.00345295,no
20.87,22.718,0.0,471.4,0.00346061,no
20.89,22.7,0.0,471.0,0.00346213,no
20.89,22.7,0.0,468.0,0.00346213,no
20.85,22.678,0.0,468.6,0.00345021,no
20.81,22.62,0.0,467.4,0.00343283,no
20.79,22.6,0.0,469.0,0.00342553,no
20.79,22.65,0.0,471.25,0.00343315,no
20.82333333,22.73,0.0,470.66666667,0.00345246,no
20.79,22.6,0.0,466.75,0.00342553,no
20.79,22.64,0.0,466.8,0.00343163,no
20.79,22.7,0.0,468.75,0.00344077,no
20.79,22.65,0.0,467.5,0.00343315,no
20.79,22.63333333,0.0,469.66666667,0.00343061,no
20.79,22.7,0.0,469.75,0.00344077,no
20.79,22.6,0.0,469.75,0.00342553,no
20.79,22.6,0.0,467.25,0.00342553,no
20.772,22.6,0.0,461.4,0.00342171,no
20.79,22.6,0.0,469.25,0.00342553,no
20.79,22.625,0.0,468.0,0.00342934,no
20.73,22.6,0.0,469.0,0.00341283,no
20.79,22.6,0.0,467.25,0.00342553,no
20.79,22.6,0.0,467.4,0.00342553,no
20.79,22.6,0.0,467.66666667,0.00342553,no
20.745,22.6,0.0,471.5,0.003416,no
20.76,22.6,0.0,471.66666667,0.00341917,no
20.7225,22.6,0.0,464.75,0.00341124,no
20.7225,22.6,0.0,461.75,0.00341124,no
20.7225,22.6,0.0,458.5,0.00341124,no
20.745,22.55,0.0,459.5,0.0034084,no
20.7225,22.55,0.0,460.5,0.00340365,no
20.76,22.56666667,0.0,465.33333333,0.0034141,no
20.7225,22.5,0.0,465.0,0.00339607,no
20.7225,22.5,0.0,459.0,0.00339607,no
20.7675,22.5,0.0,463.0,0.00340554,no
20.745,22.5,0.0,460.75,0.0034008,no
20.7,22.5,0.0,461.5,0.00339134,no
20.7,22.5,0.0,466.0,0.00339134,no
20.7675,22.5,0.0,460.25,0.00340554,no
20.718,22.52,0.0,457.4,0.00339815,no
20.7,22.5,0.0,464.6,0.00339134,no
20.73,22.5,0.0,464.33333333,0.00339764,no
20.7,22.5,0.0,459.33333333,0.00339134,no
20.7,22.5,0.0,459.75,0.00339134,no
20.7225,22.5,0.0,459.25,0.00339607,no
20.7,22.5,0.0,463.0,0.00339134,no
20.7225,22.445,0.0,461.5,0.00338772,no
20.7,22.5,0.0,454.5,0.00339134,no
20.7,22.5,0.0,458.33333333,0.00339134,no
20.718,22.5,0.0,463.0,0.00339512,no
20.7,22.5,0.0,463.75,0.00339134,no
20.708345816319323,22.46875091840703,0.0,459.0926870735759,0.0033883973734693943,no
20.708277593025855,22.465201710717125,0.0,458.85870548085086,0.003387853480792317,no
